scafnum	widx	chrom	start	end	mid	fst	var_jk	genes	t	fbin	N_bin	tcrit	outlier
1	10	SCAF_1	11386515	11967192	11676853.5	0.604626711437343	0.000962372118036589	""	-0.594600793347521	0.6	145	3.50292622822017	FALSE
1	11	SCAF_1	11968879	12776979	12372929	0.691567783908947	0.000646830867779421	ndfip2,LOC140379220,LOC140379634,LOC140379787	0.21624331171072	0.65	223	3.63025993962302	FALSE
1	12	SCAF_1	12782461	13654543	13218502	0.669825430781611	0.00052071886826442	LOC140379787,cfap221,sctr,LOC140380085,LOC140380476,rp1l1a,LOC140380682,clic5a,mgat5,LOC140381151,ccnt2b,zranb3,LOC140381374	0.0114624913007719	0.65	223	3.63025993962302	FALSE
1	13	SCAF_1	13660052	14966976	14313514	0.785352078121166	0.000382144229721778	rnd3a,mmadhca,LOC140382174,LOC140363303,fdx1,nbeal1,trak2,LOC140345408,LOC140362912,LOC140346403,slx9,LOC140346972,runx1,urp2,LOC140347272	1.11298253912866	0.75	143	3.49876676547149	FALSE
1	14	SCAF_1	14967967	15755213	15361590	0.682063613753597	0.000631919625491725	nlgn4xa,pudp,sts,LOC140348056,dusp27,LOC140348433,cybb,LOC140364714,eif5b,LOC140348843,LOC140349005,tmem198ab,rpgrb	0.126783889556114	0.65	223	3.63025993962302	FALSE
1	15	SCAF_1	15755249	16825900	16290574.5	0.76586701384232	0.000401952905731196	rpgrb,LOC140349499,nhej1,LOC140350107,stk33,LOC140351372,lig4,LOC140352516,LOC140353147,tubgcp3,LOC140353765,gpr180,LOC140354231,ddx3xb,LOC140354560,ptgfrnb,fam184aa,LOC140354626,LOC140354593,LOC140354639	0.926375420456833	0.75	143	3.49876676547149	FALSE
1	16	SCAF_1	16834360	17841620	17337990	0.82379969228252	0.000312995373888754	syndig1l,vrtn,slc25a47a,ppp2r5cb,hsp90aa1.2,wdr20b,mgat2	1.48421973864983	0.8	28	2.98439383856425	FALSE
1	17	SCAF_1	17865247	18624958	18245102.5	0.735725400784721	0.000515518461639351	LOC140354755,mdga2a,fkbp3,prpf39,arf6a	0.63599081377887	0.7	270	3.68590298861305	FALSE
1	18	SCAF_1	18640061	19445347	19042704	0.854644679139335	0.000220783434427785	LOC140354745,naa30,LOC140364785,cipcb,znf410,LOC140354787,LOC140364820,lrfn5b,yy1b,evlb,LOC140354805,LOC140354940	1.78678078966502	0.85	3	2.15785653159225	FALSE
1	19	SCAF_1	19446639	20401544	19924091.5	0.817791127074826	0.000234065447518211	mgab,pak5,LOC140354994,LOC140354967,fermt1,trmt6,gpcpd1,napbb,gzf1	1.43193101306631	0.8	28	2.98439383856425	FALSE
1	20	SCAF_1	20420057	20910282	20665169.5	0.814545751880695	0.000285871495119278	trib2,LOC140355276	1.39744742621148	0.8	28	2.98439383856425	FALSE
1	21	SCAF_1	20917214	21463410	21190312	0.483055279654235	0.000683966433770553	LOC140355276,atad2b,ubxn2a,mfsd2b,wdcp,fkbp1b,mmut,opn8b	-1.74537890909596	0.45	31	3.01821727293924	FALSE
1	22	SCAF_1	21466485	22020320	21743402.5	0.618378288340319	0.000587366155090945	opn8b,opn8a,runx2b,clic5b,enpp5,hmgn3,phip,LOC140355377	-0.474564213568689	0.6	145	3.50292622822017	FALSE
1	23	SCAF_1	22021763	22553172	22287467.5	0.701024756005627	0.000588248838687608	LOC140355468,epha7	0.306138988423029	0.7	270	3.68590298861305	FALSE
1	24	SCAF_1	22554695	23680730	23117712.5	0.647163740546738	0.000729225201462958	bach2b,mdn1,LOC140355619,ube2j1,LOC140355638,cfap206,LOC140355774,LOC140363435,rmdn3,rad51,znf292b,lrfn2b,lama4,tnfrsf21,cd2ap,opn5,ptchd4,cnih3	-0.20137347230878	0.6	145	3.50292622822017	FALSE
1	25	SCAF_1	23683814	24026253	23855033.5	0.568308360570291	0.000630147240124278	cnih3,enpp1,kcnk3a,slc35f6,pex7,slc35d3,txlnba	-0.945743492730182	0.55	91	3.36155570775314	FALSE
1	26	SCAF_1	24026566	24437039	24231802.5	0.544270939775476	0.000494353694651025	LOC140363536,gje1a,vta1,adgrg6,LOC140364967	-1.17952036516568	0.5	38	3.08510909216493	FALSE
1	27	SCAF_1	24439684	25368308	24903996	0.729661535062484	0.000608899681648152	LOC140364967,hivep2a,aig1,spata45,flvcr1,fkbp6,tmem244,tmem200a,epb41l2,itpkb,stum,ehd3,il20ra,med23,LOC140356210,trdn,nkain2	0.576113534900522	0.7	270	3.68590298861305	FALSE
1	28	SCAF_1	25370586	26373920	25872253	0.772190628741455	0.000547419069270036	nkain2,rnf217,tpd52l1,LOC140356196,LOC140356188,LOC140356231,LOC140356319,LOC140356428,faxca,tmem63a,rsph9,vegfab,LOC140356414,adcy3b,wdr26b,fez2b,itsn2a,nbas	0.980164052666128	0.75	143	3.49876676547149	FALSE
1	29	SCAF_1	26381542	27272605	26827073.5	0.5315455357983	0.000883020650217786	scml4,ppp1r14c,map7b,LOC140356672,hbs1l,aldh8a1,sgk1,LOC140356942,tbpl1,eya4,LOC140356768,sh3bgrl2,lca5,fam167ab,ccm2,xkr6b,mtmr9,pinx1,sox7,rp1l1b,fndc4a,LOC140357070,LOC140357096,znf513a,snx17,eif2b4	-1.2780751236343	0.5	38	3.08510909216493	FALSE
1	30	SCAF_1	27272949	27824410	27548679.5	0.576168431695025	0.000764930871206234	chrna2b,ptk2bb,batf,LOC140357448,LOC140357464,ylpm1,LOC140363601,LOC140357528,LOC140357564,eif2b2,LOC140357599,acss1,LOC140357888,LOC140357799	-0.866459709289137	0.55	91	3.36155570775314	FALSE
1	31	SCAF_1	27824637	28518818	28171727.5	0.629100744997503	0.000517853544815411	LOC140357799,ppp1r13bb,LOC140363634,ncoa7b,gata4,fdft1,ctsbb,LOC140357726,prkg3,kcnk2b,snx9b,LOC140357814,LOC140357902,LOC140357910,LOC140357930,LOC140357916,LOC140357945,parp1,nhsl1b	-0.374438246210411	0.6	145	3.50292622822017	FALSE
1	32	SCAF_1	28535003	29252138	28893570.5	0.668157527737964	0.000557665985939248	acp1,fbxo25,LOC140358037,LOC140363663,mettl24,slc22a16,usta,sash1a,stxbp5a	-0.0043331441039566	0.65	223	3.63025993962302	FALSE
1	33	SCAF_1	29253526	29775127	29514326.5	0.758343089541645	0.00057672628878473	stxbp5a,adgb,rab32a,grm1a,epm2a,utrn,stx11b.1,mthfd1l	0.848008160636453	0.75	143	3.49876676547149	FALSE
1	34	SCAF_1	29781248	30894436	30337842	0.782198274721787	0.000383369106193639	akap12b,esr1,syne1a,serac1,tmem181,tulp4a,cd164,sesn1,foxo3b,afg1lb,snx3,nr2e1,ostm1,igf2r,LOC140358554,LOC140358564,vgll2a,rfx6,tdrd15,afdna,unc93a,ncoa1,fam184ab	1.08285343131496	0.75	143	3.49876676547149	FALSE
1	35	SCAF_1	30896341	31738380	31317360.5	0.711169518145098	0.000501691545391202	fam184ab,man1a1,tbc1d32,clec11a,sprtn,trim67,LOC140359147	0.40352846360978	0.7	270	3.68590298861305	FALSE
1	36	SCAF_1	31743755	32613365	32178560	0.834258765601939	0.000289214490537995	scara5,pbk,esco2,tmem214,mapre3b,LOC140358786,LOC140358743,LOC140359218,kif3ca,rab10,lbr,slc5a6a,tab2,slc16a10,rev3l,LOC140363798,adgrf3b,mep1a.1,LOC140359331,disp1	1.58597893918353	0.8	28	2.98439383856425	FALSE
1	37	SCAF_1	32637006	33421919	33029462.5	0.682174933257483	0.000644561340969417	LOC140358903,LOC140359066,elp3,LOC140358956,znf395b,paqr8,mcm3,stmn4,emilin1a,ankef1a,snap25a,LOC140359500,LOC140359507,hnrnpub,LOC140363039	0.1277616212586	0.65	223	3.63025993962302	FALSE
1	38	SCAF_1	33421924	34016540	33719232	0.727842632618616	0.000559595118136932	flrt2,psmc1b	0.56017916081831	0.7	270	3.68590298861305	FALSE
1	39	SCAF_1	34021299	34574702	34298000.5	0.697331789039331	0.000452751702010013	psmc1b,brms1lb,calm1b,kcnk13b,ches1,gtf2a1	0.272909735604876	0.65	223	3.63025993962302	FALSE
1	40	SCAF_1	34576776	35208330	34892553	0.727061656830724	0.000573163594523055	ches1,gtf2a1,tshr,LOC140359686,nrxn3b	0.552457374860646	0.7	270	3.68590298861305	FALSE
1	41	SCAF_1	35211860	35998482	35605171	0.692705755816949	0.00062067380946716	nrxn3b,sptlc2b,ism2b,LOC140359773,LOC140359758,LOC140359765,bcl11bb,ccdc85cb	0.227228636435284	0.65	223	3.63025993962302	FALSE
1	42	SCAF_1	35999019	36803134	36401076.5	0.584748237903114	0.000665270924561596	ccdc85cb,selenoi,LOC140365334,frk,nt5dc1,dse,gopc,gja1b,hsf2,psmc6,lats1,nup43,LOC140359858,map3k5,tfap2d	-0.789509089974638	0.55	91	3.36155570775314	FALSE
1	43	SCAF_1	36817315	37550728	37184021.5	0.672113231776655	0.000754782212797724	gareml,syne2a,esr2a,jag2b,nudt14,LOC140363862,heca,reps1,scara3,LOC140363894,rngtt,akirin2,rars2,slc35a1,LOC140360251,grcc10,LOC140363926,dlgap2b,LOC140360404,ptprk	0.0327958723503049	0.65	223	3.63025993962302	FALSE
1	44	SCAF_1	37567720	38625494	38096607	0.689568438128703	0.000687739967973753	ptprk,LOC140363066,lama2,LOC140360329,sipa1l1,fntb,srsf5b,susd6,thbs1b,katnbl1,LOC140360536,aven,ryr3	0.1970490695131	0.65	223	3.63025993962302	FALSE
1	45	SCAF_1	38638830	39724361	39181595.5	0.788931051090401	0.000343721928405956	ryr3,fmn1,bub1,LOC140365366,dusp10,aida,tcte1,tmem151ba,nfkbie,slc35b2,hsp90ab1,eif2s1b,atp6v1d,pals1b,gphnb,fut8b	1.14911343872579	0.75	143	3.49876676547149	FALSE
1	46	SCAF_1	39725030	40391413	40058221.5	0.70941353791998	0.000520644562516166	slc24a4b,extl3,syt14b,LOC140360910,otofa,fndc1	0.386547661854723	0.7	270	3.68590298861305	FALSE
1	47	SCAF_1	40399558	44223706	42311632	0.781657127108036	0.00030860043046308	fndc1,aff2,ids,paplnb,smek1,LOC140361080,LOC140361090,LOC140361044,lin28b,gpd2,LOC140361146,LOC140361155,LOC140361161,LOC140361159,LOC140361165	1.08137495836019	0.75	143	3.49876676547149	FALSE
1	48	SCAF_1	44223828	45088272	44656050	0.77267403774702	0.000435959618632108	LOC140361165,nfkbiz,ect2l,filip1l,LOC140364101,col8a1b,prox1a	0.989690494653231	0.75	143	3.49876676547149	FALSE
1	49	SCAF_1	45101033	45951480	45526256.5	0.699194564788147	0.000678222624335818	LOC140361407,LOC140361395,obsl1a,unc80,LOC140361230,lancl1,LOC140361448	0.287698327575172	0.65	223	3.63025993962302	FALSE
1	50	SCAF_1	45951979	46819252	46385615.5	0.778520331006768	0.000371127310911628	LOC140361448,ramp1,LOC140361488,LOC140361469,LOC140361504,LOC140361539,tns1a	1.04837272676244	0.75	143	3.49876676547149	FALSE
1	51	SCAF_1	46824715	47643868	47234291.5	0.687663637944882	0.000554599839258676	tns1a,igfbp2a,stk11ip,LOC140361642,inha,spega,LOC140361685,osbpl11,LOC140361706,LOC140365445	0.180199623376218	0.65	223	3.63025993962302	FALSE
1	52	SCAF_1	47681518	48343195	48012356.5	0.703051750538592	0.000580939889126897	LOC140361784,LOC140361753,LOC140361745	0.325392247464245	0.7	270	3.68590298861305	FALSE
1	53	SCAF_1	48344933	49163043	48753988	0.701401817463592	0.000549490091870743	mrps9,LOC140361848,lama1,gucy1b2,chrm4a,LOC140361881,hsf2bp,LOC140361938,LOC140361917,ube3a,LOC140361983,LOC140361993,cars2,atg3,slc19a2,arl6ip6,arhgap1	0.310237662167943	0.7	270	3.68590298861305	FALSE
1	54	SCAF_1	49163396	50056671	49610033.5	0.641331271122921	0.000630376517954619	LOC140362043,glsa,aox6,aox5,sh3bp4a,LOC140364229,LOC140364246,atp7b,pcbp3,LOC140365540,LOC140362201,als2b,mpp4b,LOC140362257,cyp20a1,abi2b	-0.257246949100069	0.6	145	3.50292622822017	FALSE
1	55	SCAF_1	50057035	51152293	50604664	0.680800209910151	0.000635675673994077	abi2b,LOC140362409,LOC140362466,orc4,mbd5	0.114853699471382	0.65	223	3.63025993962302	FALSE
1	56	SCAF_1	51152839	52259136	51705987.5	0.68088049175236	0.00067648387900777	zeb2b,kynu,LOC140362564,LOC140362582	0.115401420233732	0.65	223	3.63025993962302	FALSE
1	57	SCAF_1	52259205	53139436	52699320.5	0.733502862140813	0.000477389064861247	LOC140362610	0.615983702633109	0.7	270	3.68590298861305	FALSE
2	0	SCAF_2	3408	2260288	1131848	0.565021592308059	0.00108804840833876	LOC140368267,spp1,sh3bp2,vldlr,LOC140368051,LOC140367926,atp8b1,LOC140367910,slc25a3b,LOC140368294,LOC140367898,LOC140367895,wdr91,shroom3,LOC140367927,LOC140368316,nagk,paip2b,LOC140367917	-0.957440464114072	0.55	91	3.36155570775314	FALSE
2	1	SCAF_2	2293621	3681501	2987561	0.760733611060469	0.000464118261168545	hspa12b,mark2b,LOC140367919,arl2,batf2,ppp2r5b,badb,LOC140367240,plcb3,LOC140367100,gys2,spx,golt1ba,recql,LOC140367095,nars1,tcf4,txnl1,c7b,LOC140368021,tmc2a,slc30a5,LOC140367861	0.875012446804472	0.75	143	3.49876676547149	FALSE
2	2	SCAF_2	3687951	4849972	4268961.5	0.714860152046258	0.000587836061517932	LOC140367861,LOC140368450,LOC140367126,LOC140366860,LOC140367125,LOC140367128,LOC140367123,LOC140366886,LOC140367755,LOC140366888,tjp2a,pip5k1ba,LOC140367336,ptpn12,LOC140367333,LOC140367334,adipor2	0.43683718517764	0.7	270	3.68590298861305	FALSE
2	3	SCAF_2	4860033	6022539	5441286	0.746287245344144	0.000375146470429499	LOC140367362,st8sia3,wdr7,LOC140367257,col7a1l,lrguk,exoc4,chchd3a,plxna4	0.740768303962476	0.7	270	3.68590298861305	FALSE
2	4	SCAF_2	6049676	7055225	6552450.5	0.738177296485237	0.000328195601698677	nrf1,ube2h,zc3hc1,cax1,cacna1c,dcp1b,cacna2d4a,lrtm2a,LOC140368292	0.664843394717101	0.7	270	3.68590298861305	FALSE
2	5	SCAF_2	7082724	9003118	8042921	0.715715175164284	0.000775161844440663	LOC140367233,LOC140366986,wnt5b,copg2,mest,atp2b1a	0.441241469247131	0.7	270	3.68590298861305	FALSE
2	6	SCAF_2	9006179	9559259	9282719	0.776211269912592	0.000285318594791843	apex1,LOC140367116,LOC140368224,LOC140368006,LOC140367374,ccnb1	1.03037715301082	0.75	143	3.49876676547149	FALSE
2	7	SCAF_2	9561086	9850106	9705596	0.748351672240319	0.000362467719288902	npr2,alad,tmem203,LOC140366951,tprn	0.760895988423902	0.7	270	3.68590298861305	FALSE
2	8	SCAF_2	9850242	10337457	10093849.5	0.825270111296538	0.000490425030157362	LOC140367106,LOC140366953,LOC140366962,LOC140367531,man1b1a,whrna	1.48627038811435	0.8	28	2.98439383856425	FALSE
2	9	SCAF_2	10339047	11297393	10818220	0.72443131477808	0.000506689927715255	whrna,akna,stxbp1a,LOC140367270,arrdc1b,mamdc4,phpt1,entpd2b,grin1a,LOC140368000,LOC140367136,LOC140367137,tsc1b	0.529168025524742	0.7	270	3.68590298861305	FALSE
2	10	SCAF_2	11314633	12088361	11701497	0.73320339027601	0.00044348979484485	barhl1b,stom,gsna,ppp2r2ab,bnip3lb,dpysl2b,LOC140367133,adra1ab,tmem230a,LOC140366996	0.614079495718276	0.7	270	3.68590298861305	FALSE
2	11	SCAF_2	12088438	12911607	12500022.5	0.764644990266579	0.000380007204141134	LOC140366996,LOC140367613,lrrtm4l1,LOC140367252,vsig8a,vav2	0.91564705106903	0.75	143	3.49876676547149	FALSE
2	12	SCAF_2	12915597	13941431	13428514	0.675990876128703	0.000731180121610171	vav2,rxraa,rassf6,LOC140367225,il11ra,tmem267,cntfr	0.0692271020703793	0.65	223	3.63025993962302	FALSE
2	13	SCAF_2	13946906	14498485	14222695.5	0.726373126429953	0.000446909617991586	cntfr	0.54905470426198	0.7	270	3.68590298861305	FALSE
2	14	SCAF_2	14499505	15342123	14920814	0.647262847713497	0.000712010610828297	galt,sigmar1,skor2,smad2,stbd1,atp8b5b,phf24,LOC140367260,LOC140367262,LOC140367264,pigo,prkab1a,ppp1r12a,pawr,syt1a	-0.200595335913526	0.6	145	3.50292622822017	FALSE
2	15	SCAF_2	15347822	16120419	15734120.5	0.64733616685491	0.000605279504700962	syt1a,LOC140367019,syt10,tnnt2c,btbd11a,LOC140367289,igf1,parpbp,nup37,pah,LOC140367282,itfg2,elapor2b,ntn4,usp44,fgd6,tmcc3,eri1,lamb1b,creb3l2,dgki,rassf3,LOC140367248,tbc1d30,prkcq,sfmbt2,itih5	-0.200854755945863	0.6	145	3.50292622822017	FALSE
2	16	SCAF_2	16120498	16800078	16460288	0.648860618961153	0.000464573323579368	celf2,usp6nl	-0.187645463603919	0.6	145	3.50292622822017	FALSE
2	17	SCAF_2	16803900	17355119	17079509.5	0.537801280452571	0.000628312871417882	plxnb2a.1,dmtf1,cunh12orf56,LOC140367381,LOC140367071,LOC140367725,upf2,nup107,mdm2,cpm,LOC140367399,LOC140367361	-1.23347899008533	0.5	38	3.08510909216493	FALSE
2	18	SCAF_2	17379375	17762642	17571008.5	0.49572212043571	0.000502751378152498	dyrk2,LOC140367435,LOC140367405,cand1,grip1,tymp,shank3b,LOC140367416,nots,cct2,myrfl,LOC140367420,rab21,ptprr,ptprb,LOC140367429,LOC140367469	-1.63942996825593	0.45	31	3.01821727293924	FALSE
2	19	SCAF_2	17762867	18424637	18093752	0.501314142151743	0.000469554467560401	kcna1b,phf21b,xpot,fbxo7,kiaa0930,pthlha,lrp6,gpr19,dusp16,ptpro,ncaph2,LOC140367457,flncb,kcnd2,stab2,mical3b	-1.58877760263797	0.5	38	3.08510909216493	FALSE
2	20	SCAF_2	18429737	19196518	18813127.5	0.557732271855869	0.000488593237723113	mical3b,lta4h,gcc1,irf5,cdhr5-rs,drd4-rs,LOC140367495,pomk,pam,LOC140367087,LOC140367497,nrg1,purg,il6st,tpm2,tln1,ythdc2,chd1,sptlc1,megf10,LOC140367521,lmnb1,slc27a6,slc12a2,LOC140367797,mapkap1,mvb12ba,LOC140367536,LOC140367539,angptl2a,crb2a,dennd1a,nek6,crata,LOC140368234,ndor1	-1.05210031911633	0.55	91	3.36155570775314	FALSE
2	21	SCAF_2	19216031	19758156	19487093.5	0.570518371281	0.00050922150643187	LOC140367567,cdk9,skp2,LOC140367570,smyd1a,LOC140367571,thnsl2,tbc1d13,zer1,LOC140367578,dpm2,eeig1b,slc25a25b,uap1l1,cfap73,zdhhc12b,LOC140367593,LOC140367597,LOC140367598,LOC140368023,myo5b,il7r,lmbrd2b,rpl17,nkx6.1,gpat3,abraxas1,helq,hpse,xpo7	-0.929918211026624	0.55	91	3.36155570775314	FALSE
2	22	SCAF_2	19760304	20576617	20168460.5	0.736466001022111	0.000673378244710778	gfra2b,cox5ba,tcf7l1a,npy8ar,LOC140367866,vcanb,hapln1b,arrdc3b,mctp1b,grk3,LOC140367662,sez6l,slc4a5b,scarb1,ash2l,aebp1a,ddx56,zmiz2,camk2b2,gnsb,cnnm4a,sec14l7,ckmt2a	0.638499136749818	0.7	270	3.68590298861305	FALSE
2	23	SCAF_2	20591672	21061169	20826420.5	0.699473561696064	0.000850276573527996	rasgrf2a,ankrd34ba,marveld2a,pi4kaa,slc25a1b,ttc28,pla2g3,rph3aa,ddx55,eif2b1,clip1b,ccdc62,LOC140367717,rilpl1,sbno1,LOC140367722,LOC140367723,LOC140367724,zswim6,mat2al,sec31a,lin54,adamts6,cwc27,trim23	0.288137389121834	0.65	223	3.63025993962302	FALSE
2	24	SCAF_2	21062467	21541611	21302039	0.564521145812143	0.000790549435717048	lhx5,LOC140367745,LOC140367746,crhbp,pde8b,wdr41,tbca,ap3b1a,lhfpl2a,arsb,dmgdh,jmy,LOC140367771,LOC140367776,LOC140367777,pik3r1	-0.974527759017531	0.55	91	3.36155570775314	FALSE
2	25	SCAF_2	21545360	22268742	21907051	0.560613531937869	0.00057169558365256	pik3r1,mast4,fcho2,tnpo1,LOC140367790,dck,LOC140367789,LOC140367147,fbp1b,c9,LOC140367795,LOC140368129,arid6,LOC140367800,LOC140367801,trappc13,nln,erbin,arhgef28a,enc1,egfl7,fnbp1b	-1.02094985269264	0.55	91	3.36155570775314	FALSE
2	26	SCAF_2	22270004	23075377	22672690.5	0.724672457467287	0.000709028476111164	fnbp1b,col5a1,olfm1b,mrps2,ttll11,dab2ipb,LOC140367331,fibcd1b,lamc3	0.526686453490646	0.7	270	3.68590298861305	FALSE
2	27	SCAF_2	23077008	23687683	23382345.5	0.688507723644123	0.000650427423532678	lamc3,prkaa1,ptger4b,map1b,LOC140367842,garnl3,ptges,usp20,rpl7a,surf1,surf6,ntng2b,phyhd1,rapgef1b,uck1,nup188,cdk5rap2,col27a1a	0.187383105085487	0.65	223	3.63025993962302	FALSE
2	28	SCAF_2	23704461	24491923	24098192	0.719042297997267	0.000769663785846187	col27a1a,psmd5,kcnt1a,LOC140367878,LOC140367887,st8sia5,loxhd1a,ark2ca,LOC140367888,thbs4b,LOC140367892,pcsk5a,LOC140367933,itga1,mtrex,plpp1a,csgalnact1a,gng10,rxfp3,slc45a2,amacr,LOC140367958,nup54,LOC140367953,LOC140367957,ptpn13,mapk10,arhgap24,LOC140367965,hcn1	0.472524885152471	0.7	270	3.68590298861305	FALSE
2	29	SCAF_2	24494971	25050670	24772820.5	0.765035696100827	0.000453680337342303	ccbe1,cplx4a,rx3,znf532,alpk2,nedd4l,LOC140367986,tmem209,ahcyl2b,strip2,morn2,LOC140367977,cald1a	0.916308778116703	0.75	143	3.49876676547149	FALSE
2	30	SCAF_2	25051358	25512550	25281954	0.568832518557866	0.00093435693292063	lrrn3b	-0.928332768247093	0.55	91	3.36155570775314	FALSE
2	31	SCAF_2	25517889	26100415	25809152	0.733869365455406	0.000488025946944737	dock4b,ifrd1,tmem168a	0.619166277252509	0.7	270	3.68590298861305	FALSE
2	32	SCAF_2	26102258	26576525	26339391.5	0.701595090529467	0.000774529384330561	gpr85,LOC140367404,LOC140367152,foxp2,mdfic	0.308969226901485	0.7	270	3.68590298861305	FALSE
2	33	SCAF_2	26581741	27496302	27039021.5	0.617775567355141	0.000664027618867348	tfec,LOC140368016,avpr2l,nrcama,cntn1b,pdzrn4,yaf2,LOC140368025,LOC140368045,LOC140367279,lrrc17,ccdc146,fgl2a	-0.478623464197331	0.6	145	3.50292622822017	FALSE
2	34	SCAF_2	27499429	28368568	27933998.5	0.748935275466865	0.000427500133667325	LOC140368045,ccdc146,fgl2a,gsap,nampt1,atxn7l1,znf800b,grm8a	0.764205643727654	0.7	270	3.68590298861305	FALSE
2	35	SCAF_2	28381792	29533882	28957837	0.663932511933233	0.000684880562938108	waslb,lmod2b,asb15b,ints13,ano6,pwp1,pkp2,ano2b,pik3cg,LOC140368074,slc13a4,coa6,LOC140368075,ptprz1b,LOC140368078	-0.0440475451641102	0.65	223	3.63025993962302	FALSE
2	36	SCAF_2	29537029	30569398	30053213.5	0.607348434578154	0.000876642645059465	LOC140368078,tm7sf3,gas2l3,slc38a2,slc38a4,LOC140368091,rbm17,il15ra,nudt5,cdc123,camk1da,ccdc3a,mcm10,cdk17,hcfc2,plxnc1,rerg,LOC140368099,alg10,celsr1a	-0.571428766066968	0.6	145	3.50292622822017	FALSE
2	37	SCAF_2	30574864	31405552	30990208	0.625413547227062	0.000599963571311799	celsr1a,gramd4a,LOC140368112,utp20,fbxo18,dnai7,lrmp,sox5,LOC140368127,LOC140368131,il17rel	-0.407876842129814	0.6	145	3.50292622822017	FALSE
2	38	SCAF_2	31425159	32227394	31826276.5	0.751377398336728	0.000383569898533748	pim3,creld2,alg12,brd1a,tafa5a	0.789011811682206	0.75	143	3.49876676547149	FALSE
2	39	SCAF_2	32229759	33369438	32799598.5	0.779014575497564	0.0003279792962481	tbc1d22a,cerk,mapk11,mapk12b,rpap3,lrig3,LOC140367313,etv6,iqsec3a,LOC140368152,LOC140367316,LOC140368154	1.05516064997578	0.75	143	3.49876676547149	FALSE
2	40	SCAF_2	33372134	33661282	33516708	0.458790163323289	0.000442062161357111	sema3aa,pcloa,cacna2d1a,hgfa,snd1,lrrc4.1	-1.9950811162794	0.45	31	3.01821727293924	FALSE
