chrom	start	end	n_snps	fst	genes
SCAF_22	11287000	11288000	3	0.986516850752111	adam19a
SCAF_12	27858000	27859000	3	0.986466636374444	""
SCAF_4	1652000	1653000	3	0.986445684650057	LOC140377306
SCAF_1	27756000	27757000	3	0.986443174025309	acss1
SCAF_1	35106000	35107000	3	0.986423472229136	nrxn3b
SCAF_3	35348000	35349000	3	0.986418086722264	tsnare1
SCAF_14	15693000	15694000	3	0.986407477774543	""
SCAF_4	10251000	10252000	3	0.986399042116754	LOC140377379
SCAF_4	1403000	1404000	3	0.986385652424418	""
SCAF_6	16494000	16495000	3	0.986363253898078	LOC140347181
SCAF_1	12583000	12584000	3	0.986332848538403	LOC140379220
SCAF_11	28908000	28909000	3	0.986269513880251	""
SCAF_14	8262000	8263000	3	0.986260337751293	""
SCAF_16	27909000	27910000	3	0.98625406192359	ext1c
SCAF_14	6266000	6267000	3	0.986252957699812	""
SCAF_21	13629000	13630000	3	0.986243378528155	daam2
SCAF_16	25038000	25039000	3	0.986242413190801	LOC140362067,pithd1
SCAF_16	32963000	32964000	3	0.986231439222881	""
SCAF_7	25448000	25449000	3	0.986227163258542	""
SCAF_8	39659000	39660000	3	0.986221692985881	""
SCAF_21	17596000	17597000	4	0.986207533990593	LOC140370945
SCAF_16	31698000	31699000	3	0.986194914828925	""
SCAF_10	25870000	25871000	3	0.986194469477731	""
SCAF_2	25834000	25835000	3	0.986187066032123	""
SCAF_15	20671000	20672000	3	0.986157168522682	""
SCAF_7	9968000	9969000	3	0.986146105097273	cdh13,ferry3
SCAF_17	7869000	7870000	3	0.986141812036676	""
SCAF_1	32370000	32371000	3	0.986136452328847	""
SCAF_2	46571000	46572000	3	0.98613066132756	nav3
SCAF_15	9419000	9420000	3	0.986125093834677	""
SCAF_10	29505000	29506000	3	0.986125042816653	samsn1a
SCAF_5	17277000	17278000	3	0.9861172970957	""
SCAF_4	30946000	30947000	3	0.986110284216493	prmt9
SCAF_19	5685000	5686000	3	0.986109127957634	itpr1a
SCAF_15	11265000	11266000	3	0.986096946516115	""
SCAF_16	33939000	33940000	4	0.98607834367394	atf6b
SCAF_9	40183000	40184000	3	0.98607339025909	oca2
SCAF_12	6639000	6640000	3	0.986065735107823	""
SCAF_19	8002000	8003000	3	0.986061747270481	LOC140366282
SCAF_6	30483000	30484000	3	0.986055809740954	grid2
SCAF_7	35942000	35943000	3	0.9860547306369	ptprq
SCAF_21	1666000	1667000	3	0.986047770736433	adgrf3a
SCAF_5	36104000	36105000	3	0.986042327824931	""
SCAF_10	2143000	2144000	3	0.986041765331559	""
SCAF_21	883000	884000	3	0.986041068710557	mark3a
SCAF_1	13012000	13013000	3	0.986034666118419	""
SCAF_19	674000	675000	3	0.986029670394086	mtss1
SCAF_1	27738000	27739000	3	0.986029470276354	""
SCAF_17	26435000	26436000	3	0.98601159124641	prickle2a
SCAF_6	11214000	11215000	3	0.98600424366796	LOC140347299
SCAF_4	31661000	31662000	3	0.985997850145045	sh3d19
SCAF_20	22463000	22464000	3	0.985997113124661	""
SCAF_21	26675000	26676000	4	0.985985900625425	kcnk10b
SCAF_18	30296000	30297000	3	0.985984940419917	kcnh2b
SCAF_9	25206000	25207000	3	0.985982808609805	gpc1a
SCAF_19	22084000	22085000	6	0.985982379668349	arhgef10la
SCAF_19	662000	663000	3	0.985981141202255	mtss1
SCAF_10	14421000	14422000	3	0.985980326114527	mecom
SCAF_11	26484000	26485000	3	0.985980004451755	""
SCAF_2	24502000	24503000	3	0.985961219835525	ccbe1
SCAF_20	24235000	24236000	3	0.985955079243537	""
SCAF_13	23476000	23477000	3	0.985953785654028	""
SCAF_9	39570000	39571000	4	0.985951163665589	wwc3
SCAF_12	10188000	10189000	3	0.985951074065589	LOC140356045
SCAF_17	7449000	7450000	6	0.985950662324703	LOC140362521
SCAF_15	18824000	18825000	3	0.985932724774118	pcdh2ac
SCAF_5	13302000	13303000	3	0.985909328926673	""
SCAF_4	21377000	21378000	3	0.985907174218927	LOC140377171
SCAF_11	32704000	32705000	3	0.985906296532125	appl1
SCAF_10	6012000	6013000	3	0.985896422162936	cadm2b
SCAF_14	12256000	12257000	4	0.985884631225837	""
SCAF_9	8758000	8759000	5	0.985880339815939	""
SCAF_17	7861000	7862000	3	0.985877278293581	""
SCAF_18	6744000	6745000	5	0.985862923441305	""
SCAF_13	6117000	6118000	3	0.985856047750291	timm29
SCAF_14	12240000	12241000	8	0.985852254313903	""
SCAF_10	19819000	19820000	3	0.985848535877212	masp1
SCAF_14	7982000	7983000	4	0.985843052033751	desma
SCAF_14	1587000	1588000	3	0.985840280692939	rnf17
SCAF_1	20649000	20650000	3	0.985839921384558	""
SCAF_14	32403000	32404000	3	0.985835009642424	slc15a2
SCAF_1	5642000	5643000	3	0.985833460895405	LOC140359757
SCAF_7	35248000	35249000	3	0.985829868683023	""
SCAF_14	9562000	9563000	3	0.98582735422313	ccdc141
SCAF_15	23448000	23449000	3	0.98579269429938	""
SCAF_8	20810000	20811000	3	0.985791909784456	""
SCAF_17	15881000	15882000	6	0.985791510968671	LOC140362991
SCAF_14	23242000	23243000	3	0.985790140526279	bard1
SCAF_2	40194000	40195000	3	0.985773494996099	sardh
SCAF_4	25768000	25769000	3	0.985765265277159	dnaja1
SCAF_2	9899000	9900000	3	0.985755622761216	LOC140367106
SCAF_20	9491000	9492000	3	0.985754335599278	""
SCAF_3	27035000	27036000	3	0.985750149622949	""
SCAF_3	18114000	18115000	3	0.985749208398977	""
SCAF_17	28351000	28352000	3	0.985735771681913	""
SCAF_13	30088000	30089000	3	0.985727066422764	rnf151
SCAF_22	14432000	14433000	3	0.985721656853045	LOC140371798
SCAF_11	34857000	34858000	6	0.985716805151191	LOC140346468
SCAF_16	33026000	33027000	6	0.985709546314572	LOC140362214
SCAF_20	18328000	18329000	3	0.985699200099505	eme2
SCAF_15	33924000	33925000	3	0.985691703665151	""
SCAF_3	34125000	34126000	3	0.985687526039121	""
SCAF_8	22339000	22340000	3	0.985667448074944	insyn2ab
SCAF_17	16625000	16626000	3	0.985665571720837	ajap1
SCAF_1	45182000	45183000	6	0.985661861592849	LOC140361395
SCAF_22	1774000	1775000	3	0.985635417831617	nlgn2a
SCAF_12	29840000	29841000	3	0.985634623888646	angptl4
SCAF_18	17138000	17139000	3	0.985627743052143	dok6
SCAF_15	16586000	16587000	3	0.985590629139001	LOC140360892
SCAF_5	36188000	36189000	3	0.985562224696915	""
SCAF_10	24251000	24252000	3	0.985546002734422	dhx36
SCAF_22	19223000	19224000	3	0.985518348496913	arhgef11
SCAF_13	5130000	5131000	3	0.985516776791718	eve1
SCAF_1	32365000	32366000	3	0.985510449873296	""
SCAF_11	8591000	8592000	3	0.98550851141864	rell2
SCAF_3	28066000	28067000	3	0.98546379136572	""
SCAF_4	18292000	18293000	3	0.985455627118665	""
SCAF_15	20792000	20793000	3	0.985439411021257	""
SCAF_17	23441000	23442000	3	0.985333082632796	""
SCAF_10	24162000	24163000	3	0.985262666844856	p2ry1
SCAF_15	2957000	2958000	3	0.985139828074158	""
SCAF_21	2786000	2787000	11	0.985102495951412	afg1la
SCAF_19	26019000	26020000	3	0.985100274871106	rbm6
SCAF_11	28174000	28175000	3	0.98500689013372	""
SCAF_13	28107000	28108000	3	0.984986471618502	""
SCAF_10	30393000	30394000	3	0.984923171816761	LOC140367806
SCAF_18	6760000	6761000	3	0.98478089366248	""
SCAF_13	7894000	7895000	3	0.984750541646103	""
SCAF_13	6242000	6243000	3	0.984724816180499	LOC140357879
SCAF_1	36917000	36918000	3	0.98464682877989	esr2a
SCAF_6	26155000	26156000	3	0.984441406618424	""
SCAF_3	21457000	21458000	3	0.984410733470044	znf407
SCAF_1	25435000	25436000	4	0.984340070620182	nkain2
SCAF_16	24171000	24172000	3	0.984310401621556	rbms3
SCAF_6	29327000	29328000	5	0.984284631006124	""
SCAF_14	12150000	12151000	10	0.984027125222007	""
SCAF_11	7555000	7556000	7	0.983967008564423	""
SCAF_21	2131000	2132000	4	0.983436612096955	""
SCAF_19	18781000	18782000	5	0.983371110424585	acad9
SCAF_22	15321000	15322000	3	0.983355213004822	LOC140372094
SCAF_1	39001000	39002000	3	0.98322092475717	nfkbie
SCAF_10	3701000	3702000	6	0.983170390763044	prx
SCAF_2	19566000	19567000	7	0.983138614678083	""
SCAF_15	1578000	1579000	6	0.983079097497116	""
SCAF_3	33478000	33479000	3	0.982947756071489	iffo1b
SCAF_14	20435000	20436000	7	0.98261288707696	""
SCAF_5	39333000	39334000	5	0.982544218258014	""
SCAF_19	13314000	13315000	3	0.982509236780553	matn4
SCAF_1	29804000	29805000	3	0.982458138473008	akap12b
SCAF_11	10054000	10055000	5	0.982329508045935	""
SCAF_18	10534000	10535000	6	0.982299966285109	""
SCAF_9	3209000	3210000	4	0.98216177632936	""
SCAF_14	16558000	16559000	3	0.982100003630695	""
SCAF_1	37113000	37114000	5	0.982066944904963	reps1
SCAF_16	33722000	33723000	6	0.981686592844889	LOC140361545
SCAF_2	9904000	9905000	14	0.981604704146448	LOC140367106
SCAF_1	53344000	53345000	4	0.980423393225993	""
SCAF_20	30029000	30030000	3	0.980411828564161	dnah9
SCAF_20	27555000	27556000	3	0.98031764034368	LOC140368920
SCAF_13	29576000	29577000	4	0.980283702667485	cyth3b
SCAF_6	3825000	3826000	3	0.980279103670165	dok2
SCAF_1	44743000	44744000	3	0.980269470452141	""
SCAF_1	35186000	35187000	5	0.980242574116619	nrxn3b
SCAF_2	20853000	20854000	3	0.980242437512672	LOC140367722
SCAF_3	20357000	20358000	3	0.980226702606352	""
SCAF_1	44792000	44793000	4	0.980223703775162	""
SCAF_19	5684000	5685000	3	0.980196666060403	itpr1a
SCAF_12	23652000	23653000	3	0.980190271431091	""
SCAF_19	8586000	8587000	4	0.98017158852603	""
SCAF_4	1119000	1120000	4	0.980162061114108	LOC140377305
SCAF_11	1766000	1767000	5	0.980124636573855	""
SCAF_13	20598000	20599000	3	0.980096128595615	mrc2
SCAF_22	24598000	24599000	3	0.98006239728207	""
SCAF_7	40923000	40924000	8	0.980053008909747	LOC140348800
SCAF_2	44433000	44434000	3	0.980048371944032	znf462
SCAF_14	12168000	12169000	13	0.980045831704302	LOC140359401
